account_id,name,open_date,dormancy_flag,age_band,phone,address,kyc_date,known_suspicious,role
ACC-G0186,Joshua Balay,2025-09-03,False,26-40,+91-9904217762,"H.No. 92, Garde, Chandigarh 873977",2025-09-23,False,background
ACC-G0187,Akshay Sangha,2024-10-14,False,26-40,+91-9335693929,"H.No. 078, Sandal Nagar, Nangloi Jat 773180",2024-11-15,False,background
ACC-G0188,Tejas Deo,2026-01-27,False,26-40,+91-9543107427,"26, Prabhakar Street, Mumbai 658046",2026-02-22,False,background
ACC-G0189,Sarthak Buch,2025-06-23,False,26-40,+91-9950850165,"H.No. 52, Bhavsar Circle, Durgapur-381793",2025-07-24,False,background
ACC-G0190,Ekani Pandit,2021-02-16,False,18-25,+91-9486401557,"88, Seth Road, Amritsar-711624",2021-03-23,False,background
ACC-G0191,Ikbal Gala,2024-08-13,False,26-40,+91-9412723804,"56, Bail Chowk, Maheshtala-038569",2024-09-26,False,background
ACC-G0192,Eta Sunder,2020-08-25,False,60+,+91-9988774924,"754, Divan Nagar, Anantapuram-292842",2020-10-02,False,background
ACC-G0193,Mitesh Edwin,2023-05-27,False,26-40,+91-9310592745,"05/52, Sen Path, Deoghar-106727",2023-05-27,False,background
ACC-G0194,Nachiket Agrawal,2019-11-22,False,26-40,+91-9885474929,"17/028, Morar Zila, Rewa-751509",2019-11-29,False,background
ACC-G0195,Tristan Mall,2020-11-28,False,41-60,+91-9301871863,"98/05, Divan Marg, Uluberia-504554",2020-12-07,False,background
ACC-G0196,Gagan Kale,2020-06-30,False,26-40,+91-9767426629,"478, Bhatti Path, Hubli–Dharwad 646287",2020-08-14,False,background
ACC-G0197,Ryan Grewal,2023-01-08,False,26-40,+91-9648704947,"H.No. 024, Sodhi Road, Tumkur-273014",2023-02-07,False,background
ACC-G0198,Ekalinga Pathak,2023-05-09,False,18-25,+91-9979647158,"902, Shenoy Path, Raurkela Industrial Township 045650",2023-05-21,False,background
ACC-G0199,Bishakha Wagle,2020-05-21,False,18-25,+91-9183219285,"H.No. 51, Pandey Circle, Ahmedabad 845765",2020-05-25,False,background
ACC-G0200,Harsh Kamdar,2022-12-27,False,60+,+91-9283389888,"11, Badal Street, Karnal 527985",2023-01-17,False,background
ACC-G0201,Daksha Balakrishnan,2020-05-23,False,18-25,+91-9132234232,"11/076, Hegde Nagar, Patna 714014",2020-06-11,False,background
ACC-G0202,Gopal Dasgupta,2020-08-05,False,26-40,+91-9939325012,"H.No. 28, Khurana, Navi Mumbai 833428",2020-09-04,False,background
ACC-G0203,Hardik Kala,2022-03-20,False,41-60,+91-9875927125,"836, Murthy Zila, Kirari Suleman Nagar-827548",2022-04-13,False,background
ACC-G0204,Fitan Narang,2020-12-23,False,60+,+91-9716479473,"31, Pillai Chowk, Ahmedabad-167811",2021-02-05,False,background
ACC-G0205,Megha Rattan,2023-05-29,False,26-40,+91-9912153539,"674, Mahajan, Raurkela Industrial Township-967842",2023-06-24,False,background
ACC-G0206,Hritik Das,2025-08-06,False,26-40,+91-9477320101,"695, Mitter Street, Solapur-734778",2025-08-30,False,background
ACC-G0207,Hemal Zachariah,2021-10-03,False,41-60,+91-9800616756,"H.No. 028, Gala Road, Chinsurah-467197",2021-11-13,False,background
ACC-G0208,Vamakshi Dugar,2024-05-18,False,18-25,+91-9806479695,"H.No. 090, Peri Street, Ballia 561655",2024-06-19,False,background
ACC-G0209,Indali Bhalla,2022-05-13,False,60+,+91-9333491141,"H.No. 850, Sami Chowk, Shimoga 790569",2022-06-10,False,background
ACC-G0210,Ekantika Chaudhari,2024-12-19,False,26-40,+91-9713578529,"37, Wason Zila, Tumkur 049639",2024-12-28,False,background
ACC-M001,Nachiket Kale,2023-01-01,False,18-25,+91-9511615594,"16/18, Pathak Road, Coimbatore 341316",2023-01-16,False,mule
ACC-M002,Sudiksha Patla,2023-08-01,False,18-25,+91-9255341928,"64, Kanda Circle, Pimpri-Chinchwad-056413",2023-08-09,False,mule
ACC-M003,Simon Tata,2024-12-08,False,18-25,+91-9672423884,"H.No. 32, Tak Circle, Nashik-226916",2025-01-20,False,mule
ACC-P001,Anmol Dua,2025-03-15,False,26-40,+91-9327193745,"419, Muni Nagar, Sikar-193149",2025-04-24,False,payee
ACC-P002,Benjamin Palan,2022-01-11,False,41-60,+91-9865185067,"H.No. 72, Goda Marg, Tadepalligudem 769453",2022-02-25,False,payee
ACC-R001,Upadhriti Wadhwa,2019-12-21,False,18-25,+91-9480184514,"04, Gokhale Circle, Bihar Sharif-252880",2019-12-26,False,ring
ACC-R002,Vrinda Bahl,2021-05-09,False,18-25,+91-9154303911,"22/78, Lanka Street, Rajpur Sonarpur-465787",2021-05-11,False,ring
ACC-R003,Yug Kar,2025-10-01,False,18-25,+91-9150983930,"105, Varkey Zila, Alwar 382997",2025-10-06,False,ring
ACC-R004,Urvashi Ray,2023-08-20,False,18-25,+91-9311656670,"51, Handa Ganj, Jorhat 262473",2023-09-03,False,ring
ACC-R005,Saanvi Chaudhari,2020-06-02,False,18-25,+91-9080132677,"H.No. 260, Lanka Marg, Baranagar-872343",2020-07-10,False,ring
ACC-R006,Darsh Murthy,2025-10-15,False,18-25,+91-9009788208,"H.No. 913, Dar Marg, Adoni 916998",2025-11-19,False,ring
ACC-R007,Advika Jayaraman,2023-11-09,False,18-25,+91-9534624751,"91/18, Toor Ganj, Mira-Bhayandar 135427",2023-12-24,False,ring
ACC-R008,Abhiram Mistry,2019-12-22,False,18-25,+91-9124118244,"487, Behl Road, Bhusawal-005242",2020-01-17,False,ring
ACC-R009,Prisha Andra,2023-08-13,False,18-25,+91-9112805982,"H.No. 450, Kade Path, Kota-869232",2023-09-10,False,ring
ACC-R010,Nitara Bakshi,2022-12-19,False,18-25,+91-9256342160,"754, Kapoor Ganj, Nellore-541458",2022-12-19,False,ring
ACC-R011,Garima Bala,2024-04-18,False,18-25,+91-9142940196,"98, Rajan Zila, Rohtak 608835",2024-06-01,False,ring
ACC-T001,Saanvi Mishra,2023-09-26,False,41-60,+91-9964990913,"12/328, Dugar Zila, Alappuzha-974034",2023-11-07,False,ato
ACC-T002,Sudiksha Bobal,2023-02-03,False,41-60,+91-9349361832,"H.No. 024, Mani, Amravati 464887",2023-03-18,False,ato-destination
ACC-V001,Aryan Maharaj,2024-11-01,False,60+,+91-9332181960,"389, Issac Nagar, Muzaffarnagar 940265",2024-11-02,False,victim
ACC-W001,Varenya Sastry,2021-12-29,False,18-25,+91-9520471167,"294, Kothari Zila, Proddatur 999386",2022-01-20,True,watchlist
ACC-X001,Faris Baral,2025-04-14,False,26-40,+91-9659401399,"02/78, Mall Chowk, Bhimavaram 717565",2025-05-22,False,stealth
ACC-X002,Henry Dyal,2024-03-02,False,26-40,+91-9567468071,"H.No. 16, Agarwal Circle, Haridwar 385977",2024-04-05,False,stealth
ACC-X003,Samar Loke,2023-05-05,False,26-40,+91-9824771093,"08/61, Comar Ganj, Kochi-748467",2023-05-15,False,stealth
ACC-X004,Yagnesh Shan,2020-11-25,False,26-40,+91-9826398214,"40/44, Suri, Amroha-558867",2020-12-19,False,stealth
ACC-X005,Ranbir Khare,2023-01-22,False,26-40,+91-9963605766,"H.No. 289, Chaudhry Path, Salem-026217",2023-03-03,False,stealth
ACC-X006,Hamsini Rao,2019-11-03,False,26-40,+91-9158657809,"43/161, Sawhney Zila, Dewas 050455",2019-11-17,False,stealth
ACC-X007,Madhav Konda,2022-06-13,False,26-40,+91-9869222196,"23/74, Kumer Chowk, Kirari Suleman Nagar-821759",2022-06-16,False,stealth
ACC-X008,Panini Krishna,2023-07-08,False,26-40,+91-9743671369,"40/640, Bawa, Baranagar 953394",2023-07-10,False,stealth
ACC-XF001,Gunbir Baral,2022-07-19,False,26-40,+91-9470952145,"285, Thaker Circle, Dehradun-745171",2022-07-23,False,stealth-feeder
ACC-XF002,Upkaar Ranganathan,2023-09-20,False,60+,+91-9851604817,"65/13, Bakshi Chowk, Phagwara 174612",2023-10-26,False,stealth-feeder
ACC-XF003,Baljiwan Modi,2022-07-23,False,18-25,+91-9711382675,"17, Reddy, Patna-377351",2022-08-23,False,stealth-feeder
ACC-XF004,Jagrati Bhat,2021-08-25,False,60+,+91-9643171390,"293, Johal Zila, Muzaffarpur 290422",2021-10-05,False,stealth-feeder
ACC-XF005,Owen Choudhary,2020-12-09,False,18-25,+91-9020539502,"681, Soni Zila, Mirzapur 783908",2020-12-17,False,stealth-feeder
ACC-XF006,Tara Balasubramanian,2023-04-27,False,41-60,+91-9076617711,"H.No. 249, Nair, Kavali 789611",2023-05-31,False,stealth-feeder
ACC-XF007,Qushi Seth,2023-02-20,False,41-60,+91-9365766156,"H.No. 27, Chand Zila, Tiruchirappalli 152809",2023-03-19,False,stealth-feeder
ACC-XF008,Jason Roy,2021-08-10,False,26-40,+91-9560494519,"73/158, Contractor Path, Chapra-689980",2021-08-18,False,stealth-feeder
